metric,fy,value,form
AdvertisingExpense,2010,4500000000,10-K
AdvertisingExpense,2010,3200000000,10-K
AdvertisingExpense,2010,3900000000,10-K
AdvertisingExpense,2011,3200000000,10-K
AdvertisingExpense,2011,3900000000,10-K
AdvertisingExpense,2011,4100000000,10-K
AdvertisingExpense,2012,3900000000,10-K
AdvertisingExpense,2012,4100000000,10-K
AdvertisingExpense,2012,4000000000,10-K
AdvertisingExpense,2013,4100000000,10-K
AdvertisingExpense,2013,4000000000,10-K
AdvertisingExpense,2013,4400000000,10-K
AdvertisingExpense,2014,4000000000,10-K
AdvertisingExpense,2014,4400000000,10-K
AdvertisingExpense,2014,4300000000,10-K
AdvertisingExpense,2015,4400000000,10-K
AdvertisingExpense,2015,4300000000,10-K
AdvertisingExpense,2015,4300000000,10-K
AdvertisingExpense,2016,4300000000,10-K
AdvertisingExpense,2016,4300000000,10-K
AdvertisingExpense,2016,4300000000,10-K
AdvertisingExpense,2017,4300000000,10-K
AdvertisingExpense,2017,4300000000,10-K
AdvertisingExpense,2017,4100000000,10-K
AdvertisingExpense,2018,4300000000,10-K
AdvertisingExpense,2018,4100000000,10-K
AdvertisingExpense,2018,4000000000,10-K
AdvertisingExpense,2019,4100000000,10-K
AdvertisingExpense,2019,4000000000,10-K
AdvertisingExpense,2019,3600000000,10-K
AdvertisingExpense,2020,4000000000,10-K
AdvertisingExpense,2020,3600000000,10-K
AdvertisingExpense,2020,2800000000,10-K
AdvertisingExpense,2021,3600000000,10-K
AdvertisingExpense,2021,2800000000,10-K
AdvertisingExpense,2021,3100000000,10-K
AdvertisingExpense,2022,2800000000,10-K
AdvertisingExpense,2022,3100000000,10-K
AdvertisingExpense,2022,2200000000,10-K
AdvertisingExpense,2023,3100000000,10-K
AdvertisingExpense,2023,2200000000,10-K
AdvertisingExpense,2023,2500000000,10-K
AdvertisingExpense,2024,2200000000,10-K
AdvertisingExpense,2024,2500000000,10-K
AdvertisingExpense,2024,2800000000,10-K
Revenues,2009,170572000000,10-K
Revenues,2009,145114000000,10-K
Revenues,2009,118308000000,10-K
Revenues,2010,143584000000,10-K
Revenues,2010,116283000000,10-K
Revenues,2010,128954000000,10-K
Revenues,2011,116283000000,10-K
Revenues,2011,128954000000,10-K
Revenues,2011,136264000000,10-K
Revenues,2012,128954000000,10-K
Revenues,2012,136264000000,10-K
Revenues,2012,134252000000,10-K
Revenues,2013,135605000000,10-K
Revenues,2013,133559000000,10-K
Revenues,2013,146917000000,10-K
Revenues,2014,133559000000,10-K
Revenues,2014,146917000000,10-K
Revenues,2014,144077000000,10-K
Revenues,2015,146917000000,10-K
Revenues,2015,144077000000,10-K
Revenues,2015,149558000000,10-K
Revenues,2016,144077000000,10-K
Revenues,2016,33900000000,10-K
Revenues,2016,37263000000,10-K
Revenues,2016,38144000000,10-K
Revenues,2016,149558000000,10-K
Revenues,2016,40251000000,10-K
Revenues,2016,37718000000,10-K
Revenues,2016,39485000000,10-K
Revenues,2016,35943000000,10-K
Revenues,2016,151800000000,10-K
Revenues,2016,38654000000,10-K
Revenues,2017,39485000000,10-K
Revenues,2017,149558000000,10-K
Revenues,2017,37718000000,10-K
Revenues,2017,35943000000,10-K
Revenues,2017,151800000000,10-K
Revenues,2017,38654000000,10-K
Revenues,2017,39146000000,10-K
Revenues,2017,39853000000,10-K
Revenues,2017,36451000000,10-K
Revenues,2017,156776000000,10-K
Revenues,2017,41326000000,10-K
Revenues,2018,151800000000,10-K
Revenues,2018,39146000000,10-K
Revenues,2018,39853000000,10-K
Revenues,2018,36451000000,10-K
Revenues,2018,156776000000,10-K
Revenues,2018,41326000000,10-K
Revenues,2018,41959000000,10-K
Revenues,2018,38920000000,10-K
Revenues,2018,37666000000,10-K
Revenues,2018,160338000000,10-K
Revenues,2018,41793000000,10-K
Revenues,2019,156776000000,10-K
Revenues,2019,41959000000,10-K
Revenues,2019,38920000000,10-K
Revenues,2019,37666000000,10-K
Revenues,2019,160338000000,10-K
Revenues,2019,41793000000,10-K
Revenues,2019,40342000000,10-K
Revenues,2019,38853000000,10-K
Revenues,2019,36990000000,10-K
Revenues,2019,155900000000,10-K
Revenues,2019,39715000000,10-K
Revenues,2020,160338000000,10-K
Revenues,2020,40342000000,10-K
Revenues,2020,38853000000,10-K
Revenues,2020,36990000000,10-K
Revenues,2020,155900000000,10-K
Revenues,2020,39715000000,10-K
Revenues,2020,34320000000,10-K
Revenues,2020,19371000000,10-K
Revenues,2020,37501000000,10-K
Revenues,2020,127144000000,10-K
Revenues,2020,35952000000,10-K
Revenues,2021,155900000000,10-K
Revenues,2021,127144000000,10-K
Revenues,2021,136341000000,10-K
Revenues,2022,127144000000,10-K
Revenues,2022,136341000000,10-K
Revenues,2022,158057000000,10-K
Revenues,2023,136341000000,10-K
Revenues,2023,158057000000,10-K
Revenues,2023,176191000000,10-K
Revenues,2024,158057000000,10-K
Revenues,2024,176191000000,10-K
Revenues,2024,184992000000,10-K
SellingGeneralAndAdministrativeExpense,2009,21169000000,10-K
SellingGeneralAndAdministrativeExpense,2009,21430000000,10-K
SellingGeneralAndAdministrativeExpense,2009,13258000000,10-K
SellingGeneralAndAdministrativeExpense,2010,21065000000,10-K
SellingGeneralAndAdministrativeExpense,2010,13029000000,10-K
SellingGeneralAndAdministrativeExpense,2010,11909000000,10-K
SellingGeneralAndAdministrativeExpense,2011,13029000000,10-K
SellingGeneralAndAdministrativeExpense,2011,11909000000,10-K
SellingGeneralAndAdministrativeExpense,2011,11578000000,10-K
SellingGeneralAndAdministrativeExpense,2012,11909000000,10-K
SellingGeneralAndAdministrativeExpense,2012,11578000000,10-K
SellingGeneralAndAdministrativeExpense,2012,12182000000,10-K
SellingGeneralAndAdministrativeExpense,2013,10884000000,10-K
SellingGeneralAndAdministrativeExpense,2013,11494000000,10-K
SellingGeneralAndAdministrativeExpense,2013,13176000000,10-K
SellingGeneralAndAdministrativeExpense,2014,11529000000,10-K
SellingGeneralAndAdministrativeExpense,2014,13176000000,10-K
SellingGeneralAndAdministrativeExpense,2014,14117000000,10-K
SellingGeneralAndAdministrativeExpense,2015,10850000000,10-K
SellingGeneralAndAdministrativeExpense,2015,15716000000,10-K
SellingGeneralAndAdministrativeExpense,2015,14999000000,10-K
SellingGeneralAndAdministrativeExpense,2016,11842000000,10-K
SellingGeneralAndAdministrativeExpense,2016,10502000000,10-K
SellingGeneralAndAdministrativeExpense,2016,12196000000,10-K
SellingGeneralAndAdministrativeExpense,2017,10763000000,10-K
SellingGeneralAndAdministrativeExpense,2017,10972000000,10-K
SellingGeneralAndAdministrativeExpense,2017,11527000000,10-K
SellingGeneralAndAdministrativeExpense,2018,10972000000,10-K
SellingGeneralAndAdministrativeExpense,2018,11527000000,10-K
SellingGeneralAndAdministrativeExpense,2018,11403000000,10-K
SellingGeneralAndAdministrativeExpense,2019,11527000000,10-K
SellingGeneralAndAdministrativeExpense,2019,11403000000,10-K
SellingGeneralAndAdministrativeExpense,2019,11161000000,10-K
SellingGeneralAndAdministrativeExpense,2020,11403000000,10-K
SellingGeneralAndAdministrativeExpense,2020,11161000000,10-K
SellingGeneralAndAdministrativeExpense,2020,10193000000,10-K
SellingGeneralAndAdministrativeExpense,2021,11161000000,10-K
SellingGeneralAndAdministrativeExpense,2021,10193000000,10-K
SellingGeneralAndAdministrativeExpense,2021,11915000000,10-K
SellingGeneralAndAdministrativeExpense,2022,10193000000,10-K
SellingGeneralAndAdministrativeExpense,2022,11915000000,10-K
SellingGeneralAndAdministrativeExpense,2022,10888000000,10-K
SellingGeneralAndAdministrativeExpense,2023,11915000000,10-K
SellingGeneralAndAdministrativeExpense,2023,10888000000,10-K
SellingGeneralAndAdministrativeExpense,2023,10702000000,10-K
SellingGeneralAndAdministrativeExpense,2024,10888000000,10-K
SellingGeneralAndAdministrativeExpense,2024,10702000000,10-K
SellingGeneralAndAdministrativeExpense,2024,10287000000,10-K
